Date2,Date,Open,High,Low,Close*,Adj Close**,Volume
2022-01-13,"Jan 13, 2022",175.78,176.62,171.79,172.19,172.19,83990300
2022-01-12,"Jan 12, 2022",176.12,177.18,174.82,175.53,175.53,74805200
2022-01-11,"Jan 11, 2022",172.32,175.18,170.82,175.08,175.08,76138300
2022-01-10,"Jan 10, 2022",169.08,172.50,168.17,172.19,172.19,106606900
2022-01-07,"Jan 07, 2022",172.89,174.14,171.03,172.17,172.17,86580100
2022-01-06,"Jan 06, 2022",172.70,175.30,171.64,172.00,172.0,96904000
2022-01-05,"Jan 05, 2022",179.61,180.17,174.64,174.92,174.92,94537600
2022-01-04,"Jan 04, 2022",182.63,182.94,179.12,179.70,179.7,99310400
2022-01-03,"Jan 03, 2022",177.83,182.88,177.71,182.01,182.01,104487900
2021-12-31,"Dec 31, 2021",178.09,179.23,177.26,177.57,177.57,64025500
2021-12-30,"Dec 30, 2021",179.47,180.57,178.09,178.20,178.2,59773000
2021-12-29,"Dec 29, 2021",179.33,180.63,178.14,179.38,179.38,62348900
2021-12-28,"Dec 28, 2021",180.16,181.33,178.53,179.29,179.29,79144300
2021-12-27,"Dec 27, 2021",177.09,180.42,177.07,180.33,180.33,74919600
2021-12-23,"Dec 23, 2021",175.85,176.85,175.27,176.28,176.28,68356600
2021-12-22,"Dec 22, 2021",173.04,175.86,172.15,175.64,175.64,92135300
2021-12-21,"Dec 21, 2021",171.56,173.20,169.12,172.99,172.99,91185900
2021-12-20,"Dec 20, 2021",168.28,170.58,167.46,169.75,169.75,107499100
2021-12-17,"Dec 17, 2021",169.93,173.47,169.69,171.14,171.14,195432700
2021-12-16,"Dec 16, 2021",179.28,181.14,170.75,172.26,172.26,150185800
2021-12-15,"Dec 15, 2021",175.11,179.50,172.31,179.30,179.3,131063300
2021-12-14,"Dec 14, 2021",175.25,177.74,172.21,174.33,174.33,139380400
2021-12-13,"Dec 13, 2021",181.12,182.13,175.53,175.74,175.74,153237000
2021-12-10,"Dec 10, 2021",175.21,179.63,174.69,179.45,179.45,115228100
2021-12-09,"Dec 09, 2021",174.91,176.75,173.92,174.56,174.56,108923700
2021-12-08,"Dec 08, 2021",172.13,175.96,170.70,175.08,175.08,116998900
2021-12-07,"Dec 07, 2021",169.08,171.58,168.34,171.18,171.18,120405400
2021-12-06,"Dec 06, 2021",164.29,167.88,164.28,165.32,165.32,107497000
2021-12-03,"Dec 03, 2021",164.02,164.96,159.72,161.84,161.84,117938300
2021-12-02,"Dec 02, 2021",158.74,164.20,157.80,163.76,163.76,136739200
2021-12-01,"Dec 01, 2021",167.48,170.30,164.53,164.77,164.77,152052500
2021-11-30,"Nov 30, 2021",159.99,165.52,159.92,165.30,165.3,174048100
2021-11-29,"Nov 29, 2021",159.37,161.19,158.79,160.24,160.24,88748200
2021-11-26,"Nov 26, 2021",159.57,160.45,156.36,156.81,156.81,76959800
2021-11-24,"Nov 24, 2021",160.75,162.14,159.64,161.94,161.94,69463600
2021-11-23,"Nov 23, 2021",161.12,161.80,159.06,161.41,161.41,96041900
2021-11-22,"Nov 22, 2021",161.68,165.70,161.00,161.02,161.02,117467900
2021-11-19,"Nov 19, 2021",157.65,161.02,156.53,160.55,160.55,117305600
2021-11-18,"Nov 18, 2021",153.71,158.67,153.05,157.87,157.87,137827700
2021-11-17,"Nov 17, 2021",151.00,155.00,150.99,153.49,153.49,88807000
2021-11-16,"Nov 16, 2021",149.94,151.49,149.34,151.00,151.0,59256200
2021-11-15,"Nov 15, 2021",150.37,151.88,149.43,150.00,150.0,59222800
2021-11-12,"Nov 12, 2021",148.43,150.40,147.48,149.99,149.99,63632600
2021-11-11,"Nov 11, 2021",148.96,149.43,147.68,147.87,147.87,41000000
2021-11-10,"Nov 10, 2021",150.02,150.13,147.85,147.92,147.92,65187100
2021-11-09,"Nov 09, 2021",150.20,151.43,150.06,150.81,150.81,56787900
2021-11-08,"Nov 08, 2021",151.41,151.57,150.16,150.44,150.44,55020900
2021-11-05,"Nov 05, 2021",151.89,152.20,150.06,151.28,151.28,65414600
2021-11-04,"Nov 04, 2021",151.58,152.43,150.64,150.96,150.74,60394600
2021-11-03,"Nov 03, 2021",150.39,151.97,149.82,151.49,151.27,54511500
2021-11-02,"Nov 02, 2021",148.66,151.57,148.65,150.02,149.8,69122000
2021-11-01,"Nov 01, 2021",148.99,149.70,147.80,148.96,148.74,74588300
2021-10-29,"Oct 29, 2021",147.22,149.94,146.41,149.80,149.58,124850400
2021-10-28,"Oct 28, 2021",149.82,153.17,149.72,152.57,152.35,100077900
2021-10-27,"Oct 27, 2021",149.36,149.73,148.49,148.85,148.63,56094900
2021-10-26,"Oct 26, 2021",149.33,150.84,149.01,149.32,149.1,60893400
2021-10-25,"Oct 25, 2021",148.68,149.37,147.62,148.64,148.42,50720600
2021-10-22,"Oct 22, 2021",149.69,150.18,148.64,148.69,148.47,58883400
2021-10-21,"Oct 21, 2021",148.81,149.64,147.87,149.48,149.26,61421000
2021-10-20,"Oct 20, 2021",148.70,149.75,148.12,149.26,149.04,58418800
2021-10-19,"Oct 19, 2021",147.01,149.17,146.55,148.76,148.54,76378900
2021-10-18,"Oct 18, 2021",143.45,146.84,143.16,146.55,146.34,85589200
